Iso Code	Language Name	IETF Code	Script
abi	Abidji	abi	Latin
ace	Aceh	ace	Latin
aca	Achagua	aca	Latin
acn	Achang	acn	Latin
acr	Achi	acr	Latin
ach	Acholi	ach	Latin
acu	Achuar-Shiwiar	acu	Latin
guq	Aché	guq	Latin
ade	Adele	ade	Latin
adj	Adioukrou	adj	Latin
agd	Agarabi	agd	Latin
agx	Aghul	agx	Latin
agn	Agutaynen	agn	Latin
aha	Ahanta	aha	Latin
aka	Akan	ak	Latin
knj	Akateko	knj	Latin
ake	Akawaio	ake	Latin
aeu	Akeu	aeu	Latin
ahk	Akha	ahk	Latin
bss	Akoose	bss	Latin
alj	Alangan	alj	Latin
sqi	Albanian	sq	Latin
alt	Altai, Southern	alt	Latin
alp	Alune	alp	Latin
alz	Alur	alz	Latin
kab	Amazigh	kab	Latin
amk	Ambai	amk	Latin
mmg	Ambrym, North	mmg	Latin
amh	Amharic	am	Latin
ami	Amis	ami	Latin
azg	Amuzgo, San Pedro Amuzgos	azg	Latin
agg	Angor	agg	Latin
boj	Anjam	boj	Latin
cko	Anufo	cko	Latin
any	Anyin	any	Latin
arl	Arabela	arl	Latin
ara	Arabic	ar	Latin
atq	Aralle-Tabulahan	atq	Latin
luc	Aringa	luc	Latin
hyw	Armenian, Western	hyw	Latin
apr	Arop-Lokep	apr	Latin
aia	Arosi	aia	Latin
msy	Aruamu	msy	Latin
cni	Asháninka	cni	Latin
cjo	Ashéninka, Pajonal	cjo	Latin
cpu	Ashéninka, Pichis	cpu	Latin
cpb	Ashéninka, Ucayali-Yurúa	cpb	Latin
asm	Assamese	as	Latin
asa	Asu	asa	Latin
teo	Ateso	teo	Latin
ati	Attié	ati	Latin
djk	Aukan	djk	Latin
ava	Avar	av	Latin
avn	Avatime	avn	Latin
avu	Avokaya	avu	Latin
awb	Awa	awb	Latin
kwi	Awa-Cuaiquer	kwi	Latin
awa	Awadhi	awa	Latin
agr	Awajún	agr	Latin
agu	Awakateko	agu	Latin
ayr	Aymara, Central	ayr	Latin
ayo	Ayoreo	ayo	Latin
abp	Ayta, Abellen	abp	Latin
blx	Ayta, Mag-Indi	blx	Latin
sgb	Ayta, Mag-antsi	sgb	Latin
azj-script_cyrillic	Azerbaijani, North	azj	Latin
azj-script_latin	Azerbaijani, North	azj	Latin
azb	Azerbaijani, South	azb	Latin
bba	Baatonum	bba	Latin
bhz	Bada	bhz	Latin
bvc	Baelelea	bvc	Latin
bfy	Bagheli	bfy	Latin
bgq	Bagri	bgq	Latin
bdq	Bahnar	bdq	Latin
bdh	Baka	bdh	Latin
bqi	Bakhtiâri	bqi	Latin
